date,symbol,day_type,strangle_seen,action_taken,notes
2026-01-06,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-01-08,NIFTY,TREND_DAY,False,SKIPPED,Auto-logged
2026-01-09,NIFTY,MIXED_DAY,True,ALLOWED,Auto-logged
2026-01-10,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-01-12,NIFTY,NO_DATA,False,SKIPPED,Auto-logged
2026-01-13,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-01-14,NIFTY,MIXED_DAY,True,ALLOWED,Auto-logged
2026-01-15,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-01-16,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-01-21,NIFTY,TREND_DAY,True,ALLOWED,Auto-logged
2026-01-22,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-01-23,NIFTY,MIXED_DAY,True,ALLOWED,Auto-logged
2026-01-29,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-02-01,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-02-14,NIFTY,NO_DATA,False,SKIPPED,Auto-logged
2026-02-17,NIFTY,NO_DATA,False,SKIPPED,Auto-logged
2026-02-28,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-03-03,NIFTY,TREND_DAY,False,SKIPPED,Auto-logged
2026-03-10,NIFTY,TREND_DAY,False,SKIPPED,Auto-logged
2026-03-12,NIFTY,MIXED_DAY,True,ALLOWED,Auto-logged
2026-03-20,NIFTY,TREND_DAY,False,SKIPPED,Auto-logged
2026-03-24,NIFTY,TREND_DAY,False,SKIPPED,Auto-logged
2026-03-27,NIFTY,TREND_DAY,False,SKIPPED,Auto-logged
2026-04-04,NIFTY,TREND_DAY,False,SKIPPED,Auto-logged
2026-04-12,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-04-18,NIFTY,MIXED_DAY,False,SKIPPED,Auto-logged
2026-04-18,NIFTY,MIXED_DAY
